ID,Species,lat,lon,N,C,LEC,CNR,Sex,Year,TBL,Suess_d13C
KS10-26Dd,Common dolphin,-36.59833,174.90072,14.3,-16.67,NA,3,Male,2010,217,-16.43
KS12-15Dd,Common dolphin,-36.71667,174.75,15.53,-16.49,NA,3,Female,2012,190,-16.29
KS16-29Dd,Common dolphin,-36.88333,175.05,12.71,-17.39,NA,3,Female,2016,160,-17.28
KS10-85Lp,Southern right whale dolphin,-46.361667,169.785833,11.25,-20.14,-15.51,3.01,F,2010,208,-19.9
KS16-24Pc,False killer whale,-43.479722,172.723611,13.94,-19.34,-16.96,3.09,M,2016,536,-19.23
KS18-31Gg,Risso's dolphin,-35.955278,173.744444,15.43,-16.08,NA,3.1,F,2018,186,-16.01
KS11-13Dd,Common dolphin,-36.38201,174.75626,14.43,-17.59,NA,3.1,Male,2011,217,-17.37
KS13-06Gg,Risso's dolphin,-40.751667,172.280556,13.72,-20.03,-16.51,3.15,M,2013,298,-19.85
KS18-34Hp,Southern bottlenose whale,-37.396944,174.710556,13.69,-17.41,-16.76,3.15,NA,2018,450,-17.34
Gm133,Long-finned pilot whale,-46.73486,167.72199,11.87,-16.9,NA,3.15223175,Male,2010,497,-16.65
KS16-25Pc,False killer whale,-43.050278,173.075556,13.7,-17.28,NA,3.16,M,2016,410,-17.17
BW19/10,Strap-toothed whale,-36.620556,174.769167,11.54,-23.15,-19.79,3.16,M,2010,517,-22.91
KS19-07Gg,Risso's dolphin,-35.2775,174.293056,13.18,-19.94,-17.25,3.17,M,2019,346,-19.9
BW34/11,Strap-toothed whale,-36.221944,174.701944,11.3,-23.36,-19.2,3.18,F,2011,550,-23.14
KS11-50Dd,Common dolphin,-36.3913,174.72982,12.58,-17.79,NA,3.2,Female,2011,195,-17.57
KS15-16Dd,Common dolphin,-36.81667,174.45,13.75,-18.54,NA,3.2,Male,2015,220,-18.41
KS15-19Dd,Common dolphin,-37.02353,175.29235,15.29,-17.26,NA,3.2,Female,2015,195,-17.13
KS20-36Lp,Southern right whale dolphin,-39.083333,177.871667,10.31,-20.23,-18.76,3.25,M,2020,188,-20.21
Gm136,Long-finned pilot whale,-46.73486,167.72199,12.42,-17.05,NA,3.260056397,Female,2010,410,-16.8
Gm525,Long-finned pilot whale,-40.51742,172.8604,13.27,-18.04,-17.95,3.266335675,Male,2017,560,-17.95
KS21-26Tt,Bottlenose dolphin,-43.048611,173.065833,13.65,-17.54,NA,3.28,F,2021,284,-17.54
KS12-13Dd,Common dolphin,-37.06553,175.52198,16.71,-16.59,NA,3.3,Female,2012,189,-16.39
KS21-25Tt,Bottlenose dolphin,-43.048611,173.065833,13.99,-17.5,NA,3.31,M,2021,252,-17.5
KS21-30Oo,Killer whale,-36.379444,174.240278,15.73,-16.3,NA,3.34,M,2021,627,-16.3
KS19-31Gm,Long-finned pilot whale,-35.88389,174.46722,12.84,-17.99,-17.25,3.352943398,Female,2019,NA,-17.95
Gm460,Long-finned pilot whale,-40.515,172.867222,11.83,-18.62,NA,3.39,M,2014,308,-18.47
Gm472,Long-finned pilot whale,-40.51742,172.8604,12.22,-18.34,NA,3.43039712,Female,2014,461,-18.19
KS13-16Gg,Risso's dolphin,-35.955278,174.466667,12.85,-17.71,NA,3.44,F,2013,310,-17.53
KS20-17Fa,Pygmy killer whale,-36.02639,174.50611,14.42,-17.61,-16.85,3.442836898,Male,2020,NA,-17.59
Gm463,Long-finned pilot whale,-40.515,172.867222,14.26,-18.71,NA,3.45,M,2014,184,-18.56
KS14-52Dd,Common dolphin,-34.99944,173.94083,11.88,-18.9,NA,3.450665717,Female,2014,184.6,-18.75
BW30/11,Gray's beaked whale,-37.396944,174.710556,12.72,-18.49,-18.8,3.49,F,2011,480,-18.27
KS18-24Lo,Dusky dolphin,-40.63277,172.68538,14.16,-17.43,NA,3.5,Female,2018,NA,-16.5
Gm438,Long-finned pilot whale,-40.515,172.867222,13.63,-18.88,NA,3.5,M,2014,190,-17.18
